name,affiliation,location
Alberto Acerbi,University of Trento,Italy
Luca Aiello,DTU,Denmark
Filippo Andrei,University of Trento,Italy 
Giulia Andrighetto,Institute of Cognitive Sciences and Technologies,Italy
Stefano Balietti,University of Mannheim,Germany
Federico Bianchi,University of Milan,Italy
Ivano Bison,University of Trento,Italy
Riccardo Boero,NILU - the Climate and Environmental Research Institute,Norway
Gian Maria Campedelli,Fondazione Bruno Kessler,Italy
Valerio Capraro,Bicocca University of Milan,Italy
Ciro Cattuto,ISI Foundation,Italy
Simone Centellegher,Fondazione Bruno Kessler,Italy
Francesca Colaiori,CNR,Italy
Luigi Curini,University of Milan,Italy
Manlio De Domenico,University of Padua,Italy
Niccolò Di Marco,Sapienza University of Rome,Italy
Pierpaolo Dondio,TU Dublin,Ireland
Gabriele Etta,Sapienza University of Rome,Italy
Max Falkenberg,City University,United Kingdom
Alessandro Galeazzi,University of Padua,Italy
Floriana Gargiulo,Sorbonne Université,France
Krzysztof Krakowski,King's College London - University of London,United Kingdom
Bruno Lepri,Fondazione Bruno Kessler,Italy
Gianluca Manzo,Sorbonne Université,France
Vittorio Nespeca,University of Amsterdam,The Netherlands
Giovanni Pagano,University of Milan,Italy
Nicola Perra,Queen Mary University of London,United Kingdom
Daniela Perrotta,Max Planck Institute,Germany
Walter Quattrociocchi,Sapienza University of Rome,Italy
Francesco Renzini,University of Milan,Italy
Giancarlo Ruffo,Eastern Piedmont University,Italy
Anna Sapienza,Eastern Piedmont University,Italy
Flaminio Squazzoni,University of Milan,Italy
Aron Szekely,Collegio Carlo Alberto,Italy
Michele Tizzoni,University of Trento,Italy
Marco Tonin,University of Trento,Italy
Raffaele Vacca,University of Milan,Italy
Giuseppe Alessandro Veltri,University of Trento,Italy
Daniele Vilone,Institute of Cognitive Sciences and Technologies,Italy
Eva Vriens,Institute of Cognitive Sciences and Technologies,Italy
Fabiana Zollo,Ca' Foscari University of Venice,Italy
